Gene_Symbol
01-Dec
01-Mar
01-Sep
02-Mar
02-Sep
03-Mar
03-Sep
04-Mar
04-Sep
05-Mar
05-Sep
06-Mar
06-Sep
07-Mar
07-Sep
08-Mar
08-Sep
09-Mar
09-Sep
10-Mar
10-Sep
11-Mar
11-Sep
12-Sep
14-Sep
AAED1
AARS
ACOT7L
ACPP
ADAL
ADGRF2
ADPRHL2
ADSS
ADSSL1
AES
AKR1C8P
ALG1L
ALPPL2
ALS2CR12
ANKRD20A2
ANKRD20A3
ANKRD20A4
ANP32C
APOPT1
ARMC4
ARMT1
ARNTL
ARNTL2
ARSE
ASNA1
ATP5MD
ATP5MPL
ATP5S
B3GNTL1
BARGIN
BCE1
BHLHB9
BHMG1
BMT2
BTBD11
BTNL10
BVES
BVES-AS1
C10orf111
C10orf113
C10orf128
C10orf142
C10orf25
C10orf76
C10orf82
C10orf91
C10orf99
C11orf1
C11orf44
C11orf45
C11orf49
C11orf53
C11orf70
C11orf72
C11orf74
C11orf80
C11orf88
C11orf94
C11orf95
C12orf10
C12orf29
C12orf4
C12orf40
C12orf45
C12orf49
C12orf65
C12orf66
C12orf73
C12orf74
C12orf77
C14orf144
C14orf177
C14orf178
C14orf28
C14orf37
C15orf41
C15orf53
C15orf54
C15orf56
C15orf59
C15orf65
C16orf45
C16orf47
C16orf58
C16orf70
C16orf71
C16orf72
C16orf91
C16orf97
C17orf102
C17orf112
C17orf47
C17orf49
C17orf51
C17orf53
C17orf62
C17orf64
C17orf77
C17orf80
C17orf82
C17orf97
C17orf98
C18orf12
C18orf21
C18orf25
C18orf65
C19orf24
C19orf48
C19orf54
C19orf57
C19orf66
C19orf70
C19orf71
C1orf100
C1orf109
C1orf112
C1orf123
C1orf127
C1orf131
C1orf134
C1orf137
C1orf140
C1orf147
C1orf158
C1orf189
C1orf194
C1orf195
C1orf196
C1orf228
C1orf229
C1orf43
C1orf61
C1orf68
C20orf187
C20orf194
C20orf196
C20orf197
C20orf24
C20orf27
C20orf78
C20orf85
C21orf2
C21orf33
C21orf59
C21orf62
C21orf62-AS1
C22orf24
C22orf34
C22orf46
C2CD6
C2orf16
C2orf27B
C2orf40
C2orf48
C2orf50
C2orf54
C2orf70
C2orf71
C2orf73
C2orf83
C2orf88
C2orf91
C3orf14
C3orf30
C3orf35
C3orf56
C3orf58
C3orf67
C3orf79
